year,mtext,thresh
2011,January,18628
2011,February,18659
2011,March,18687
2011,April,18718
2011,May,18748
2011,June,18779
2011,July,18809
2011,August,18840
2011,September,18871
2011,October,18901
2011,November,18932
2011,December,18962
2012,January,18993
2012,February,19024
2012,March,19053
2012,April,19084
2012,May,19114
2012,June,19145
2012,July,19175
2012,August,19206
2012,September,19237
2012,October,19267
2012,November,19298
2012,December,19328
2013,January,19359
2013,February,19390
2013,March,19418
2013,April,19449
2013,May,19479
2013,June,19510
2013,July,19540
2013,August,19571
2013,September,19602
2013,October,19632
2013,November,19663
2013,December,19693
2014,January,19724
2014,February,19755
2014,March,19783
2014,April,19814
2014,May,19844
2014,June,19875
2014,July,19905
2014,August,19936
2014,September,19967
2014,October,19997
2014,November,20028
2014,December,20058
2015,January,20089
2015,February,20120
2015,March,20148
2015,April,20179
2015,May,20209
2015,June,20240
2015,July,20270
2015,August,20301
2015,September,20332
2015,October,20362
2015,November,20393
2015,December,20423
2016,January,20454
2016,February,20485
2016,March,20514
2016,April,20545
2016,May,20575
2016,June,20606
2016,July,20636
2016,August,20667
2016,September,20698
2016,October,20728
2016,November,20759
2016,December,20789
2017,January,20820
2017,February,20851
2017,March,20879
2017,April,20910
2017,May,20940
2017,June,20971
2017,July,21001
2017,August,21032
2017,September,21063
2017,October,21093
2017,November,21124
2017,December,21154
2018,January,21185
2018,February,21216
2018,March,21244
2018,April,21275
2018,May,21305
2018,June,21336
2018,July,21366
2018,August,21397
2018,September,21428
2018,October,21458
2018,November,21489
2018,December,21519
2019,January,21550
2019,February,21581
2019,March,21609
2019,April,21640
2019,May,21670
2019,June,21701
2019,July,21731
